1;LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB;800,00;
2;RECHARGE CARTE CARBURANT;N°2127063;5 454,55;
3;RECHARGE CARTE CARBURANT;N°2474694;5 454,55;
4;GASOIL;;11,79;
5;GASOIL;;11,83;
6;RECHARGE CARTE JAWAZ;TAG N°22431105349;1 666,67;
7;FILTRE HYDRAULIQUE;2651125649;1 922,74;
8;PEINTURE;GRIS LAAYOUNE MILAFLEX;70,00;
9;PEINTURE;NOIR DIAMANT PROFLEX;80,00;
10;DILUANT CELLULOSIQUE;SODECSO 5LT;23,00;
11;CIMENT;CPJ 45 SUR PALETTE;1 700,00;
12;TRAITEMENT CHEMISE;ZBE 100;60,00;
13;PNEU;12R 22,5 PIRELLI;4 083,33;
14;FILTRE HYDRAULIQUE;SH 60008;541,67;
15;HUILE;DTE 26 208LT;8 200,00;
16;HUILE;15W40 SUPER 1300 204LT;6 685,00;
17;GRAISSE;MP2 18KG;720,00;
18;HUILE;DTE 26 208LT;8 200,00;
19;HUILE;15W40 SUPER 1300 204LT;6 685,00;
20;GRAISSE;MP2 18KG;720,00;
21;HUILE;DTE 26 208LT;6 833,33;
22;BATTERIE;12V100A L5;916,67;
23;BATTERIE;12V100A L5;916,67;
24;BATTERIE;12V100A L5;916,67;
25;COSSE A SERTIR;D 6MM;1,50;
26;COSSE A SERTIR;D 4MM;1,50;
27;COSSE A SERTIR;D 10MM;6,50;
28;COSSE DE BATTERIE;DIESEL +/-;20,00;
29;VOYANT ROUGE;24V;35,00;
30;VOYANT VERT;24V;35,00;
31;COUPE COURANT;24V;180,00;
32;SCOTCH NOIR;GM;10,00;
33;CONTACT DE DEMARRAGE;RENFORCEE STD;250,00;
34;CONTACT DE DEMARRAGE;RENFORCEE STD;250,00;
35;CABLE DE DEMARRAGE;16MM2;90,00;
36;VAYANT ROUGE;12V;35,00;
37;VOYANT VERT;12V;35,00;
38;IMPRIMANTE;EPSON Eco Tank L3250 SN N°X8JM051666;1 582,50;
39;OXYGENE;;46,69;
40;COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER;8 240,00;
41;COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER;8 240,00;
42;FILTRE A GASOIL;TG-262;224,00;
43;FILTRE A HUILE;LF 4056;144,00;
44;FILTRE A GASOIL;M361;156,00;
45;FILTRE A HUILE;28175;64,00;
46;FILTRE A GASOIL;B7125 BALDWIN;288,00;
47;FILTRE A HUILE;DS 1904 F;200,00;
48;FILTRE A GASOIL;FIL 101;48,00;
49;FILTRE A HUILE;40218;72,00;
50;CONFECTION FLEXIBLE;3/4 LG=4 MT FF JIC;648,00;
51;CONFECTION FLEXIBLE;3/8 LG=1,94 MT FF METRIC;278,28;
52;MANCHON;"1"" NOIR EE";20,00;
53;TUBE TECALENT;6X4 BLANC;8,21;
54;CONFECTION FLEXIBLE;"1"" R1 LG= 6 MT MF BSP";628,22;
55;CONFECTION FLEXIBLE;"1"" R1 LG= 3 MT MF BSP";423,98;
56;RACCORD UNION;"1""1/2 FF EE  NOIR";95,00;
57;COUDE;"1"" FF EE NOIR";19,60;
58;MANCHON;"1/2"" FF EE NOIR";10,50;
59;MAMELON;"1/2"" EE NOIR";10,50;
60;REPARATION FLEXIBLE;S/M;180,59;
61;CONFECTION FLEXIBLE;3/4 LG= 2,50MT FF;478,62;
62;CONFECTION FLEXIBLE;3/8 LG=1,16 MT FF;216,43;
63;CONFECTION FLEXIBLE;3/8 LG= 0,60 MT FF;164,19;
64;CONFECTION FLEXIBLE;1/4 LG=2,80 MT FF;327,69;
65;CONFECTION FLEXIBLE;1/4 LG=9 MT MT FF;855,91;
