Désignation;Référence; PU.HT ;;;;;
LOCATION CHARIOT ELEVATEUR;TELESCOPIQUE 14MT JCB; 800,00   ;;;;;
RECHARGE CARTE CARBURANT;N°2127063; 5 454,55   ;;;;;
RECHARGE CARTE CARBURANT;N°2474694; 5 454,55   ;;;;;
GASOIL;; 11,79   ;;;;;
GASOIL;; 11,83   ;;;;;
RECHARGE CARTE JAWAZ;TAG N°22431105349; 1 666,67   ;;;;;
FILTRE HYDRAULIQUE;2651125649; 1 922,74   ;;;;;
PEINTURE ;GRIS LAAYOUNE MILAFLEX; 70,00   ;;;;;
PEINTURE ;NOIR DIAMANT PROFLEX; 80,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO 5LT; 23,00   ;;;;;
CIMENT;CPJ 45 SUR PALETTE; 1 700,00   ;;;;;
TRAITEMENT CHEMISE;ZBE 100; 60,00   ;;;;;
PNEU;12R 22,5 PIRELLI; 4 083,33   ;;;;;
FILTRE HYDRAULIQUE;SH 60008; 541,67   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
HUILE;DTE 26 208LT; 6 833,33   ;;;;;
BATTERIE;12V100A L5; 916,67   ;;;;;
BATTERIE;12V100A L5; 916,67   ;;;;;
BATTERIE;12V100A L5; 916,67   ;;;;;
COSSE A SERTIR;D 6MM; 1,50   ;;;;;
COSSE A SERTIR;D 4MM; 1,50   ;;;;;
COSSE A SERTIR;D 10MM; 6,50   ;;;;;
COSSE DE BATTERIE;DIESEL +/-; 20,00   ;;;;;
VOYANT ROUGE;24V; 35,00   ;;;;;
VOYANT VERT;24V; 35,00   ;;;;;
COUPE COURANT;24V; 180,00   ;;;;;
SCOTCH NOIR;GM; 10,00   ;;;;;
CONTACT DE DEMARRAGE ;RENFORCEE STD; 250,00   ;;;;;
CONTACT DE DEMARRAGE ;RENFORCEE STD; 250,00   ;;;;;
CABLE DE DEMARRAGE;16MM2; 90,00   ;;;;;
VAYANT ROUGE;12V; 35,00   ;;;;;
VOYANT VERT;12V; 35,00   ;;;;;
IMPRIMANTE;EPSON Eco Tank L3250 SN N°X8JM051666; 1 582,50   ;;;;;
OXYGENE;; 46,69   ;;;;;
COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER; 8 240,00   ;;;;;
COURONNE PLEINE;66 F/N ROD MALE MARQUE ROKPECKER; 8 240,00   ;;;;;
FILTRE A GASOIL;TG-262; 224,00   ;;;;;
FILTRE A HUILE;LF 4056; 144,00   ;;;;;
FILTRE A GASOIL;M361; 156,00   ;;;;;
FILTRE A HUILE;28175; 64,00   ;;;;;
FILTRE A GASOIL ;B7125 BALDWIN; 288,00   ;;;;;
FILTRE A HUILE;DS 1904 F; 200,00   ;;;;;
FILTRE A GASOIL;FIL 101; 48,00   ;;;;;
FILTRE A HUILE;40218; 72,00   ;;;;;
CONFECTION FLEXIBLE;3/4 LG=4 MT FF JIC; 648,00   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=1,94 MT FF METRIC; 278,28   ;;;;;
MANCHON ;"1"" NOIR EE"; 20,00   ;;;;;
TUBE TECALENT;6X4 BLANC; 8,21   ;;;;;
CONFECTION FLEXIBLE;"1"" R1 LG= 6 MT MF BSP"; 628,22   ;;;;;
CONFECTION FLEXIBLE;"1"" R1 LG= 3 MT MF BSP"; 423,98   ;;;;;
RACCORD UNION;"1""1/2 FF EE  NOIR"; 95,00   ;;;;;
COUDE;"1"" FF EE NOIR"; 19,60   ;;;;;
MANCHON;"1/2"" FF EE NOIR"; 10,50   ;;;;;
MAMELON;"1/2"" EE NOIR"; 10,50   ;;;;;
REPARATION FLEXIBLE;S/M; 180,59   ;;;;;
CONFECTION FLEXIBLE;3/4 LG= 2,50MT FF; 478,62   ;;;;;
CONFECTION FLEXIBLE;3/8 LG=1,16 MT FF; 216,43   ;;;;;
CONFECTION FLEXIBLE;3/8 LG= 0,60 MT FF; 164,19   ;;;;;
CONFECTION FLEXIBLE;1/4 LG=2,80 MT FF; 327,69   ;;;;;
CONFECTION FLEXIBLE;1/4 LG=9 MT MT FF; 855,91   ;;;;;
CONFECTION FLEXIBLE;"1""1/8 LG=1,10 MT FF"; 519,79   ;;;;;
ADAPTEUR;7/16-20X1/4 NPT JIC; 32,00   ;;;;;
ADAPTEUR ;04-04 JIC DOUBLE; 45,50   ;;;;;
ADAPTEUR;7/16-20X3/8 NPT; 33,60   ;;;;;
COLLIER MICALOR;110-130 12MM; 11,20   ;;;;;
CABLE D'EMBRAYAGE;1336711460 ISUZU=1336711461; 1 563,37   ;;;;;
PC ORDINATEUR;HP PAVILLON 24 T ch AIO i5-13400T 8GB 256G+1 T HD White; 10 660,30   ;;;;;
SEPARATEUR;CA002266A; 2 800,00   ;;;;;
BOUTEILLE D'AIR COMPRIME;15LT; 4 000,00   ;;;;;
COMPRESSEUR D'AIR;; 28 000,00   ;;;;;
FLEXIBLE HAUT PRESSION AVEC PURGEUR;HAUT PRESSION AVEC PURGEUR ET MANOMETRE; 3 000,00   ;;;;;
COURROIE;9,5X1400 REF 1180448; 515,61   ;;;;;
SONDE THERMIQUE;150° REF 1173469; 1 031,27   ;;;;;
SONDE THERMIQUE;02405960 REF 1183085; 479,44   ;;;;;
POMPE HYDRAULIQUE;SERIE 1; 1 500,00   ;;;;;
KIT NECESSAIRE;S/M; 1 720,00   ;;;;;
RADIO PORTABLE;E/R HYTERA AP515 AVEC ANTENNE+BATTERIE+CHARGEUR; 1 850,00   ;;;;;
CHARGEUR DE BATTERIE;DP 1400 MOTOROLA; 600,00   ;;;;;
TUBE GALVANISEE;"1"" SERIE 1"; 68,50   ;;;;;
RACCORD UNION;"1"" GALVANISEE"; 52,20   ;;;;;
TUBE PEHD;32PN16; 9,20   ;;;;;
MAMELON;"1""1/2 EE NOIR"; 20,83   ;;;;;
RACCORD PEHD;"32X1"" MALE"; 21,00   ;;;;;
MANCHON PEHD;32x32; 22,50   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X16 MM2; 95,83   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X10 MM2; 62,50   ;;;;;
PROJECTEUR LED;100W; 200,00   ;;;;;
PRISE APPARENT;2P+T16A; 75,00   ;;;;;
FICHE;2P+T16A; 54,17   ;;;;;
PEISE APPARENT;3P+T32A; 104,18   ;;;;;
FICHE;3P+T32A; 95,83   ;;;;;
OBTURATEUR SIMPLE;R 84 LG=1000 MM; 7 735,75   ;;;;;
REDUCTION;CR 60 ROD F X 60 N/ROD F; 1 800,00   ;;;;;
POLYMERE;EZ-MUD DP 25KG; 2 000,00   ;;;;;
REPARATION FLEXIBLE;"2"" COTE F"; 351,42   ;;;;;
MANOMETRE;250 BARS D 100; 260,00   ;;;;;
CONFECTION FLEXIBLE;1/2 LG=9 MT-FF METRIC; 1 037,28   ;;;;;
CONFECTION FLEXIBLE;1/2 LG= 6 MT-FF METRIC; 732,27   ;;;;;
UNION DOUBLE;16S; 62,50   ;;;;;
REPARATION FLEXIBLE;"2"" COTE F"; 351,42   ;;;;;
TUBE TECALENT;4X6 BLANC; 8,21   ;;;;;
TUBE HYDRAULIQUE;2X4; 21,00   ;;;;;
